iter	Passed	Remaining
827	103457	21491
828	103624	21374
829	103820	21264
830	103961	21142
831	104086	21017
832	104203	20890
833	104322	20764
834	104431	20636
835	104544	20508
836	104665	20382
837	104786	20256
838	104900	20129
839	105031	20006
840	105155	19880
841	105278	19755
842	105391	19628
843	105481	19496
844	105594	19369
845	105726	19245
846	105845	19119
847	105963	18993
848	106077	18866
849	106187	18738
850	106302	18612
851	106417	18485
852	106545	18361
853	106658	18234
854	106767	18106
855	106873	17978
856	106982	17851
857	107095	17724
858	107219	17599
859	107327	17471
860	107487	17352
861	107614	17228
862	107727	17101
863	107838	16974
864	107955	16848
865	108071	16722
866	108199	16598
867	108320	16472
868	108448	16348
869	108563	16222
870	108695	16098
871	108813	15972
872	108927	15846
873	109049	15721
874	109171	15595
875	109281	15469
876	109385	15341
877	109500	15215
878	109615	15089
879	109715	14961
880	109876	14841
881	109987	14714
882	110124	14591
883	110234	14465
884	110367	14341
885	110615	14232
886	110764	14110
887	110916	13989
888	111049	13865
889	111206	13744
890	111344	13621
891	111489	13498
892	111627	13375
893	111783	13253
894	111893	13127
895	112076	13008
896	112239	12888
897	112398	12766
898	112530	12642
899	112659	12517
900	112778	12391
901	112912	12267
902	113026	12141
903	113144	12015
904	113275	11890
905	113395	11765
906	113499	11637
907	113610	11511
908	113725	11385
909	113844	11259
910	113954	11132
911	114074	11007
912	114186	10880
913	114309	10755
914	114443	10631
915	114536	10503
916	114667	10378
917	114774	10252
918	114894	10126
919	115011	10001
920	115113	9874
921	115221	9747
922	115337	9621
923	115449	9495
924	115586	9371
925	115706	9246
926	115833	9121
927	115954	8996
928	116086	8872
929	116190	8745
930	116305	8619
931	116419	8494
932	116534	8368
933	116637	8242
934	116757	8116
935	116883	7992
936	117004	7866
937	117114	7741
938	117225	7615
939	117361	7491
940	117483	7366
941	117607	7241
942	117723	7115
943	117857	6991
944	118041	6870
945	118369	6756
946	118625	6639
947	118815	6517
948	118952	6392
949	119090	6267
950	119248	6144
951	119391	6019
952	119557	5896
953	119711	5772
954	119870	5648
955	120014	5523
956	120174	5399
957	120331	5275
958	120495	5151
959	120678	5028
960	120858	4904
961	121117	4784
962	121294	4660
963	121429	4534
964	121556	4408
965	121703	4283
966	121817	4157
967	121913	4030
968	122020	3903
969	122112	3776
970	122238	3650
971	122337	3524
972	122430	3397
973	122535	3270
974	122626	3144
975	122738	3018
976	122844	2891
977	122942	2765
978	123038	2639
979	123144	2513
980	123230	2386
981	123338	2260
982	123442	2134
983	123542	2008
984	123641	1882
985	123753	1757
